model_name,accuracy,precision,recall,f1_score,roc_auc,best_cv_score,best_params,feature_importance
RandomForest,0.9946595460614153,0.9983974358974359,0.9952076677316294,0.9968,0.999818177095509,0.999927223401658,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100}","{'transaction_count': np.float64(0.22082645638774587), 'total_amount': np.float64(0.03397883020969124), 'avg_amount': np.float64(0.033462501792385045), 'amount_std': np.float64(0.05297018475053722), 'recency_days': np.float64(0.0034668998379489965), 'customer_tenure_days': np.float64(0.0850745348195044), 'frequency_per_day': np.float64(0.022742706578845338), 'high_risk_channel_use': np.float64(0.010149144397478296), 'high_fraud_hour_ratio': np.float64(0.1459050918601771), 'amount_cv': np.float64(0.3914236493656866)}"
GradientBoosting,0.9973297730307076,0.9968152866242038,1.0,0.9984051036682615,0.9996493415413388,0.9998019296477928,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200, 'subsample': 0.8}","{'transaction_count': np.float64(1.0784337857444682e-05), 'total_amount': np.float64(0.05782477233697122), 'avg_amount': np.float64(0.05745415291472262), 'amount_std': np.float64(1.7172192283140257e-05), 'recency_days': np.float64(0.0013840569621755773), 'customer_tenure_days': np.float64(0.0005222894727381767), 'frequency_per_day': np.float64(0.00583117451805849), 'high_risk_channel_use': np.float64(0.03958883831304464), 'high_fraud_hour_ratio': np.float64(0.24444202736970017), 'amount_cv': np.float64(0.5929247315824486)}"
DecisionTree,0.9946595460614153,0.9983974358974359,0.9952076677316294,0.9968,0.9958570352476688,0.998953259270551,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 2}","{'transaction_count': np.float64(0.0), 'total_amount': np.float64(0.039353252576759284), 'avg_amount': np.float64(0.0013114557653025225), 'amount_std': np.float64(0.0), 'recency_days': np.float64(0.0), 'customer_tenure_days': np.float64(0.0), 'frequency_per_day': np.float64(0.0008946551985868984), 'high_risk_channel_use': np.float64(0.014271659865933619), 'high_fraud_hour_ratio': np.float64(0.12659112724369204), 'amount_cv': np.float64(0.8175778493497257)}"
LogisticRegression,0.965287049399199,0.9966887417218543,0.9616613418530351,0.9788617886178862,0.98911660043118,0.991218496692416,"{'C': 100, 'max_iter': 1000, 'penalty': 'l2', 'solver': 'liblinear'}",
